State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Ambikapur RTO - CG15,ICE,INDIA KAWASAKI MOTORS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,ICE,INDIA YAMAHA MOTOR PVT LTD,31.0,38.0,31.0,27.0,44.0,33.0,43.0,23.0,20.0,54.0,41.0,37.0,49.0,32.0,21.0,40.0,36.0,33.0,2.0,213.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,ICE,PIAGGIO VEHICLES PVT LTD,0.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),48.0,67.0,43.0,56.0,50.0,33.0,39.0,47.0,33.0,58.0,89.0,31.0,74.0,55.0,51.0,46.0,61.0,38.0,0.0,325.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,13.0,29.0,11.0,6.0,10.0,5.0,10.0,11.0,13.0,10.0,0.0,59.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,ICE,TVS MOTOR COMPANY LTD,309.0,293.0,342.0,309.0,288.0,264.0,248.0,224.0,216.0,458.0,562.0,249.0,331.0,312.0,398.0,338.0,297.0,254.0,6.0,0.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,L3G,ATUL AUTO LTD,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,L3G,BAXY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chhattisgarh,Ambikapur RTO - CG15,L3G,DILLI ELECTRIC AUTO PVT LTD,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
